"year","Code","dead","newcases"
2019,0,56784.850523449,469295.302029475
2019,1,56784.850523449,469295.302029475
2019,1.1,56784.850523449,469295.302029475
2019,1.2,56784.850523449,469295.302029475
2019,1.3,56784.850523449,469295.302029475
2019,1.4,56784.850523449,469295.302029475
2019,1.5,56784.850523449,469295.302029475
2019,1.6,56784.850523449,469295.302029475
2019,1.7,56784.850523449,469295.302029475
2019,1.8,56784.850523449,469295.302029475
2019,1.9,56784.850523449,469295.302029475
2019,5,102537.835318555,653226.715991877
2019,5.1,102537.835318555,653226.715991877
2019,5.2,102537.835318555,653226.715991877
2019,5.3,102537.835318555,653226.715991877
2019,7,67304.3909055739,561138.689464517
2019,7.1,67304.3909055739,561138.689464517
2019,7.2,67304.3909055739,561138.689464517
2019,7.3,67304.3909055739,561138.689464517
2019,8,56784.850523449,469295.302029475
2020,0,61515.1637222392,470282.216828651
2020,1,61515.1637222392,470282.216828651
2020,1.1,61515.1637222392,470282.216828651
2020,1.2,61515.1637222392,470282.216828651
2020,1.3,61515.1637222392,470282.216828651
2020,1.4,61515.1637222392,470282.216828651
2020,1.5,61515.1637222392,470282.216828651
2020,1.6,61515.1637222392,470282.216828651
2020,1.7,61515.1637222392,470282.216828651
2020,1.8,61515.1637222392,470282.216828651
2020,1.9,61515.1637222392,470282.216828651
2020,5,61515.1637222392,470282.216828651
2020,5.1,61515.1637222392,470282.216828651
2020,5.2,61515.1637222392,470282.216828651
2020,5.3,61515.1637222392,470282.216828651
2020,7,61515.1637222392,470282.216828651
2020,7.1,61515.1637222392,470282.216828651
2020,7.2,61515.1637222392,470282.216828651
2020,7.3,61515.1637222392,470282.216828651
2020,8,61515.1637222392,470282.216828651
2021,0,66659.9646652474,486878.474315791
2021,1,66659.9646652474,486878.474315791
2021,1.1,66659.9646652474,486878.474315791
2021,1.2,66659.9646652474,486878.474315791
2021,1.3,66659.9646652474,486878.474315791
2021,1.4,66659.9646652474,486878.474315791
2021,1.5,66659.9646652474,486878.474315791
2021,1.6,66659.9646652474,486878.474315791
2021,1.7,66659.9646652474,486878.474315791
2021,1.8,66659.9646652474,486878.474315791
2021,1.9,66659.9646652474,486878.474315791
2021,5,66659.9646652474,486878.474315791
2021,5.1,66659.9646652474,486878.474315791
2021,5.2,66659.9646652474,486878.474315791
2021,5.3,66659.9646652474,486878.474315791
2021,7,66659.9646652474,486878.474315791
2021,7.1,66659.9646652474,486878.474315791
2021,7.2,66659.9646652474,486878.474315791
2021,7.3,66659.9646652474,486878.474315791
2021,8,66659.9646652474,486878.474315791
2022,0,71594.9515205325,505052.195214671
2022,1,71594.9515205325,505052.195214671
2022,1.1,71594.9515205325,505052.195214671
2022,1.2,71594.9515205325,505052.195214671
2022,1.3,71594.9515205325,505052.195214671
2022,1.4,71594.9515205325,505052.195214671
2022,1.5,71594.9515205325,505052.195214671
2022,1.6,71594.9515205325,505052.195214671
2022,1.7,71594.9515205325,505052.195214671
2022,1.8,71594.9515205325,505052.195214671
2022,1.9,71594.9515205325,505052.195214671
2022,5,71594.9515205325,505052.195214671
2022,5.1,71594.9515205325,505052.195214671
2022,5.2,71594.9515205325,505052.195214671
2022,5.3,71594.9515205325,505052.195214671
2022,7,71594.9515205325,505052.195214671
2022,7.1,71594.9515205325,505052.195214671
2022,7.2,71594.9515205325,505052.195214671
2022,7.3,71594.9515205325,505052.195214671
2022,8,71594.9515205325,505052.195214671
2023,0,76656.0665664186,524169.131794359
2023,1,76656.0665664186,524169.131794359
2023,1.1,76656.0665664186,524169.131794359
2023,1.2,76656.0665664186,524169.131794359
2023,1.3,76656.0665664186,524169.131794359
2023,1.4,76656.0665664186,524169.131794359
2023,1.5,76656.0665664186,524169.131794359
2023,1.6,76656.0665664186,524169.131794359
2023,1.7,76656.0665664186,524169.131794359
2023,1.8,76656.0665664186,524169.131794359
2023,1.9,76656.0665664186,524169.131794359
2023,5,76656.0665664186,524169.131794359
2023,5.1,76656.0665664186,524169.131794359
2023,5.2,76656.0665664186,524169.131794359
2023,5.3,76656.0665664186,524169.131794359
2023,7,76656.0665664186,524169.131794359
2023,7.1,76656.0665664186,524169.131794359
2023,7.2,76656.0665664186,524169.131794359
2023,7.3,76656.0665664186,524169.131794359
2023,8,76656.0665664186,524169.131794359
2024,0,81941.4585095411,544018.964875563
2024,1,81750.082505657,542664.761631223
2024,1.1,81939.6299205398,543957.130806102
2024,1.2,81931.667280823,543954.667784088
2024,1.3,81909.7612268354,543778.748118002
2024,1.4,81940.0217610401,543970.380963844
2024,1.5,81920.1732297191,543879.188589748
2024,1.6,81941.4585095411,543995.188444676
2024,1.7,81792.0284624999,542886.514447062
2024,1.8,81920.1732297191,543879.188589748
2024,1.9,81920.1732297191,543879.188589748
2024,5,81555.0336136506,540004.597799474
2024,5.1,81805.7820576853,542625.208166181
2024,5.2,81675.0756145409,541222.862961848
2024,5.3,81832.93147557,542914.013493501
2024,7,81929.5837361241,542797.517465655
2024,7.1,81937.3926223216,543595.346545476
2024,7.2,81933.3213467756,543184.748670872
2024,7.3,81938.0730366089,543669.403158667
2024,8,81352.9118394385,537466.148655215
2025,0,87495.9292388593,564443.955595441
2025,1,87049.657382594,561642.300143128
2025,1.1,87491.8412959904,564319.874159903
2025,1.2,87472.3962612294,564308.017146036
2025,1.3,87422.1821810406,563949.541719453
2025,1.4,87492.721173297,564346.608871005
2025,1.5,87444.8207773998,564148.801181406
2025,1.6,87495.8004949637,564396.804362421
2025,1.7,87147.9991255565,562107.419482414
2025,1.8,87444.8207773998,564148.801181406
2025,1.9,87444.8207773998,564148.801181406
2025,5,86518.8210072636,555856.033558306
2025,5.1,87162.090994877,561555.672710288
2025,5.2,86840.4933260289,558655.14504882
2025,5.3,87226.9527292257,562124.013432521
2025,7,87425.3766468696,561806.842717146
2025,7.1,87471.9570129436,563560.983645327
2025,7.2,87448.3256786652,562705.147929557
2025,7.3,87475.8678036345,563705.78772792
2025,8,86010.1822564596,550578.601100744
2026,0,93350.8189539807,585369.004971542
2026,1,92583.0577239045,581033.957506507
2026,1.1,93344.0223059348,585182.02398849
2026,1.2,93309.1635911651,585153.97042781
2026,1.3,93224.6182492668,584607.619733925
2026,1.4,93345.4903390648,585222.513235286
2026,1.5,93260.4387517584,584902.661166867
2026,1.6,93350.4398751617,585298.759367251
2026,1.7,92753.8866523417,581762.378411892
2026,1.8,93260.4387517584,584902.661166867
2026,1.9,93260.4387517584,584902.661166867
2026,5,91562.157018378,571591.352875226
2026,5.1,92755.2828776196,580882.119492032
2026,5.2,92182.3044274428,576383.516027332
2026,5.3,92866.7662321511,581716.477942227
2026,7,93169.7783752614,581100.593522977
2026,7.1,93290.5773002449,583989.342250839
2026,7.2,93231.3945020903,582651.773988868
2026,7.3,93299.9948053453,584200.30446376
2026,8,90641.3228165399,563380.408387513
2027,0,99473.8447776383,606733.472528673
2027,1,98320.347302021,600787.938163389
2027,1.1,99463.8494249956,606482.732064948
2027,1.2,99409.1589186446,606431.847892229
2027,1.3,99284.530922565,605693.737273001
2027,1.4,99466.0146053299,606537.278097869
2027,1.5,99333.6298645428,606080.082087718
2027,1.6,99473.0987542087,606640.3591743
2027,1.7,98576.9681137702,601797.406754813
2027,1.8,99333.6298645428,606080.082087718
2027,1.9,99333.6298645428,606080.082087718
2027,5,96633.5091064726,587093.979745252
2027,5.1,98551.6165025478,600543.042166964
2027,5.2,97665.8940686591,594344.947576821
2027,5.3,98716.8759955091,601625.038574674
2027,7,99124.9327959277,600598.258832023
2027,7.1,99360.4182382302,604819.277787875
2027,7.2,99249.1392205039,602962.732843211
2027,7.3,99377.2994711174,605090.299805022
2027,8,95199.2497816257,575766.058175894
2028,0,105884.258359014,628470.927396851
2028,1,104278.130600256,620844.42460193
2028,1.1,105870.485835397,628155.034256357
2028,1.2,105791.047303705,628074.993238936
2028,1.3,105620.876554516,627142.432317543
2028,1.4,105873.476487025,628224.044429361
2028,1.5,105682.414251857,627614.195786975
2028,1.6,105883.03189189,628355.186017601
2028,1.7,104636.465427417,622150.601065625
2028,1.8,105682.414251857,627614.195786975
2028,1.9,105682.414251857,627614.195786975
2028,5,101729.663108333,602227.011587644
2028,5.1,104568.294547517,620468.036934318
2028,5.2,103307.05012205,612465.26621962
2028,5.3,104792.759146364,621775.396575363
2028,7,105304.11459741,620209.474371556
2028,7.1,105700.212658146,625982.949561177
2028,7.2,105519.758619333,623568.77006751
2028,7.3,105726.14578005,626306.686809015
2028,8,99680.7117211955,587608.14504115
2029,0,112567.73863973,650506.129502658
2029,1,110445.350873263,641145.343331166
2029,1.1,112549.546414129,650123.566500159
2029,1.2,112442.886381155,650013.800731843
2029,1.3,112219.703933792,648880.829588332
2029,1.4,112553.505243795,650207.469776338
2029,1.5,112297.658969571,649442.002069226
2029,1.6,112565.921559278,650368.038293744
2029,1.7,110918.752162746,642757.482248854
2029,1.8,112297.658969571,649442.002069226
2029,1.9,112297.658969571,649442.002069226
2029,5,106812.550939463,616860.832236719
2029,5.1,110789.11658377,640586.90442546
2029,5.2,109088.273698637,630677.450132599
2029,5.3,111076.293833296,642089.646377466
2029,7,111686.469194154,639840.327546702
2029,7.1,112295.105944358,647406.481234837
2029,7.2,112027.849312805,644396.645715522
2029,7.3,112331.279502087,647773.296818575
2029,8,104053.692089878,598798.240480523
2030,0,119489.188780454,672674.496404236
2030,1,116787.660721315,661541.464111385
2030,1.1,119465.87173626,672223.699603192
2030,1.2,119329.042974408,672082.755041889
2030,1.3,119045.813955481,670747.047619909
2030,1.4,119470.955696196,672322.931224545
2030,1.5,119142.720867162,671396.929306265
2030,1.6,119486.673121256,672514.392786237
2030,1.7,117390.42498384,663466.017636742
2030,1.8,119142.720867162,671396.929306265
2030,1.9,119142.720867162,671396.929306265
2030,5,111824.426789823,630761.092723588
2030,5.1,117178.155378865,660738.513891899
2030,5.2,114973.103856882,648822.038892989
2030,5.3,117529.08524225,662401.053398525
2030,7,118230.219637893,659306.553750911
2030,7.1,119109.625609229,668926.289041638
2030,7.2,118737.497042662,665283.757857375
2030,7.3,119156.7308378,669324.947873261
2030,8,108264.537748637,609128.658170829
