"location","year","Nx0","sex","age"
"Saudi Arabia",2014,229940.133659861,"Female",0
"Saudi Arabia",2014,243324.005741923,"Male",0
"Saudi Arabia",2015,227621.424984923,"Female",0
"Saudi Arabia",2015,240866.566451767,"Male",0
"Saudi Arabia",2016,225005.700407271,"Female",0
"Saudi Arabia",2016,238100.172484429,"Male",0
"Saudi Arabia",2017,222119.643776204,"Female",0
"Saudi Arabia",2017,235050.081683087,"Male",0
"Saudi Arabia",2018,219466.697919864,"Female",0
"Saudi Arabia",2018,232241.937380666,"Male",0
"Saudi Arabia",2019,216949.450404325,"Female",0
"Saudi Arabia",2019,229577.776071073,"Male",0
"Saudi Arabia",2020,214432.202888785,"Female",0
"Saudi Arabia",2020,226913.61476148,"Male",0
"Saudi Arabia",2021,211914.955373246,"Female",0
"Saudi Arabia",2021,224249.453451886,"Male",0
"Saudi Arabia",2022,209397.707857707,"Female",0
"Saudi Arabia",2022,221585.292142293,"Male",0
"Saudi Arabia",2023,206337.465568074,"Female",0
"Saudi Arabia",2023,218346.934431925,"Male",0
"Saudi Arabia",2024,204305.01303164,"Female",0
"Saudi Arabia",2024,216196.18696836,"Male",0
"Saudi Arabia",2025,201743.701108632,"Female",0
"Saudi Arabia",2025,213485.798891368,"Male",0
"Saudi Arabia",2026,199771.786817091,"Female",0
"Saudi Arabia",2026,211399.113182909,"Male",0
"Saudi Arabia",2027,198659.991746541,"Female",0
"Saudi Arabia",2027,210222.608253459,"Male",0
"Saudi Arabia",2028,197317.607181396,"Female",0
"Saudi Arabia",2028,208802.092818604,"Male",0
"Saudi Arabia",2029,196505.44241282,"Female",0
"Saudi Arabia",2029,207942.65758718,"Male",0
"Saudi Arabia",2030,195851.085203968,"Female",0
"Saudi Arabia",2030,207250.214796032,"Male",0
"Saudi Arabia",2031,195060.686995354,"Female",0
"Saudi Arabia",2031,206413.813004645,"Male",0
"Saudi Arabia",2032,195503.840552077,"Female",0
"Saudi Arabia",2032,206882.759447923,"Male",0
"Saudi Arabia",2033,195365.41883482,"Female",0
"Saudi Arabia",2033,206736.28116518,"Male",0
"Saudi Arabia",2034,195448.403844674,"Female",0
"Saudi Arabia",2034,206824.096155326,"Male",0
"Saudi Arabia",2035,196258.187895754,"Female",0
"Saudi Arabia",2035,207681.012104246,"Male",0
"Saudi Arabia",2036,196514.625180304,"Female",0
"Saudi Arabia",2036,207952.374819696,"Male",0
"Saudi Arabia",2037,197648.526913315,"Female",0
"Saudi Arabia",2037,209152.273086685,"Male",0
"Saudi Arabia",2038,197410.115061233,"Female",0
"Saudi Arabia",2038,208899.984938767,"Male",0
"Saudi Arabia",2039,198738.555423903,"Female",0
"Saudi Arabia",2039,210305.744576097,"Male",0
"Saudi Arabia",2040,199176.267340636,"Female",0
"Saudi Arabia",2040,210768.932659364,"Male",0
"Saudi Arabia",2041,199841.167726969,"Female",0
"Saudi Arabia",2041,211472.532273031,"Male",0
"Saudi Arabia",2042,199564.324292455,"Female",0
"Saudi Arabia",2042,211179.575707545,"Male",0
"Saudi Arabia",2043,200061.214044083,"Female",0
"Saudi Arabia",2043,211705.385955917,"Male",0
"Saudi Arabia",2044,199964.965036752,"Female",0
"Saudi Arabia",2044,211603.534963248,"Male",0
"Saudi Arabia",2045,200294.184256175,"Female",0
"Saudi Arabia",2045,211951.915743825,"Male",0
"Saudi Arabia",2046,199946.259399285,"Female",0
"Saudi Arabia",2046,211583.740600715,"Male",0
"Saudi Arabia",2047,199417.400012713,"Female",0
"Saudi Arabia",2047,211024.099987287,"Male",0
"Saudi Arabia",2048,198362.742162063,"Female",0
"Saudi Arabia",2048,209908.057837937,"Male",0
"Saudi Arabia",2049,197551.937803485,"Female",0
"Saudi Arabia",2049,209050.062196515,"Male",0
"Saudi Arabia",2050,195717.084819203,"Female",0
"Saudi Arabia",2050,207108.415180797,"Male",0
